virksomhedsRegistreringsId,ejerkreds_aktiv_92,ejerkreds_aktiv_94,virksomhedsoplysninger_21,virksomhedsoplysninger_22,virksomhedsoplysninger_25,virksomhedsoplysninger_24,virksomhedsoplysninger_23,virksomhedsoplysninger_20,ejerkreds_aktiv_10,ejerkreds_aktiv_31,ejerkreds_aktiv_96,ejerkreds_aktiv_47,ejerkreds_aktiv_12,ejerkreds_aktiv_48,ejerkreds_aktiv_50,ejerkreds_aktiv_49,ejerkreds_aktiv_1,ejerkreds_aktiv_130,ejerkreds_aktiv_129,ejerkreds_aktiv_128,ejerkreds_aktiv_127,ejerkreds_aktiv_6,ejerkreds_aktiv_25,ejerkreds_aktiv_26,ejerkreds_aktiv_80,ejerkreds_aktiv_102,ejerkreds_aktiv_78,ejerkreds_ny_32,ejerkreds_aktiv_34,virksomhedsoplysninger_55,virksomhedsoplysninger_54,sagsoplysninger_3,ejerkreds_ny_34,sagsoplysninger_2,sagsoplysninger_30,sagsoplysninger_36,target
36,1,0,0.0,"-5,00e+06","-1,0e+06","6,98200000000000e-02","19,02400000000000",-500000.0,0.0,5.0,5.0,10,2,3,3,2,2.0,0.0,0.0,0.0,0.0,108.0,"-25555,0000000000",-25555.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-1,0,2,True
38,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,9,15,0,1,33,0,1,False
39,1,1,0.0,"-5,00e+06","-1,0e+06","5,19253333333333e-01","45,84461538461538",-500000.0,0.0,14.0,28.0,21,2,3,3,3,10.0,0.0,0.0,0.0,0.0,107.0,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-2,1,2,False
40,0,0,0.0,"-5,00e+06","-1,0e+06","1,48700000000000e-01","73,40333333333334",-500000.0,0.0,5.0,1.0,7,1,4,4,3,9.0,0.0,0.0,0.0,0.0,394.0,"-25561,0000000000",-25561.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-5,0,2,False
41,0,0,-200000.0,"-2,50e+07","-1,6e+07","4,86300000000000e-01","30,33714285714286",-2000000.0,0.0,7.0,4.0,11,1,2,2,1,12.0,0.0,0.0,0.0,0.0,334.0,"-25553,0000000000",-25553.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-13,1,2,False
43,0,0,-200000.0,"-5,00e+06","-1,0e+06","3,44750000000000e-01","74,13000000000000",-500000.0,0.0,3.0,,4,1,2,2,2,4.0,0.0,0.0,0.0,0.0,267.0,"-25567,0000000000",-25567.0,0.0,0.0,0,0.0,0.0,0,10,0,0,0,0,2,False
44,0,0,,,,,,,0.0,4.0,4.0,3,2,3,3,1,,,,,,,"-25556,0000000000",-25556.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-11,0,2,False
45,1,1,200000.0,"0,00e+00","0,0e+00","0,00000000000000e+00","1056,80999999999995",0.0,100000.0,2.0,,3,1,2,2,2,13.0,0.0,0.0,0.0,0.0,2.0,"-25562,0000000000",-25562.0,0.0,0.0,0,0.0,0.0,8,10,0,0,-5,0,2,True
46,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,"-25534,0000000000",-25534.0,,,1,,1.0,0,15,0,1,-33,0,1,False
48,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,"-25543,0000000000",-25543.0,,,1,,1.0,4,15,0,1,-24,0,1,False
